,uuid,name_first,country,male,level,gender,F,M,?
0,0008lnf1nx6nd5jg83gy2mho2,Nur Amalina,MY,0.0,3.0,F,1.0,0.0,0.0
1,000vbyvxs0knriv3a0vebfl5v,Youhei,JP,1.0,1.0,M,0.0,1.0,0.0
2,002mgihhi0wnffxfsqvtwt5uz,Xiaoteng,CN,,,,,,
3,003wz8hsnujz4edro22pwrtjl,Danni,CN,,,,,,
4,0067922ph4ioidsbcoliozako,Tetsuo,JP,1.0,1.0,M,0.0,1.0,0.0
5,006lndzktsunsb9i2jq2ftp3o,Balasubramanyan,US,1.0,3.0,M,0.0,1.0,0.0
6,007hous9g1nzrx5cpl8llg3mm,Jiyoung,US,0.0,1.0,F,0.9848485,0.0,0.0
7,008l4599ndfjdrfnazkr16rft,Dinesh Babu Thirukondan,IN,1.0,2.0,M,0.0,1.0,0.0
8,009ek361b7ue7ah69twxmyyac,Juhee,KR,0.0,3.0,F,1.0,0.0,0.0
9,00a1cw1jm5uesdoblsan3azgv,Yoshinori,JP,1.0,1.0,M,0.0,1.0,0.0
10,00a78t2p3oir1sv8qztybog4r,Prakruthi,US,,,,,,
11,00bagu1dktex674zhdwxkl4rn,Adam,US,1.0,2.0,M,0.0,1.0,0.0
12,00cb4yvf3ivevxbrjv0jld2oh,Irantzu,DK,0.0,3.0,F,1.0,0.0,0.0
13,00cf47hfj8z7hvo3hl33yferc,Rajanish,IN,1.0,1.0,M,0.0,1.0,0.0
14,00d1ofa5qczrrev8riprdncox,David,US,1.0,2.0,M,0.0,1.0,0.0
15,00do4exw5lk50dqosqpvjku6o,Zhangcheng,CN,,,,,,
16,00e8s9fusw8l6dqhmcchh3scu,Hwajoong,KR,,,,,,
17,00ei770f1ljbh9otydo3886ad,Shangqing,US,,,,,,
18,00enoff6hetmtdpq1lnc13ryp,Richard,US,1.0,2.0,M,0.0,1.0,0.0
19,00f5v8gz1eadv5lv5jxig7isp,Jian,US,1.0,3.0,M,0.0,1.0,0.0
20,00fj0g9n8dxb4xjplx6gf4f5c,Youngdae,KR,,,,,,
21,00fptv5bxmjth20rrh8v1z17l,Ziyang,CN,,,,,,
22,00gamf21hky5tdgz67ovx6e2y,Hatem,FR,1.0,2.0,M,0.0,1.0,0.0
23,00j92n3fv7csm1mjmudtow12i,Kyri,AU,0.0,2.0,F,1.0,0.0,0.0
24,00j99ckcxjqr4vpy1h6k32k5c,Nandish Uppal,IN,1.0,1.0,M,0.0,1.0,0.0
25,00k2ffu7ddnjxm793kv244g08,Samuel,US,1.0,2.0,M,0.0,1.0,0.0
26,00lblo5txdgkuv98eaaju6rqn,Thomas Marc,NL,1.0,1.0,M,0.0,1.0,0.0
27,00lcec40v6jf6xt6zblo8ayxb,Xiaojia,CN,,,,,,
28,00mje8tfa47tqebdlbf4fcp1r,Byungjune,KR,,,,,,
29,00o4q21xa38b6hy7ak47v25g3,Kar,US,0.0,2.0,F,1.0,0.0,0.0
30,00p1716g9mk5f9jjw2dey1i81,Teerachot,IE,,,,,,
31,00p53xhmj7all5legtnt1z37w,Lale,US,0.0,1.0,F,1.0,0.0,0.0
32,00pi85kpyfnapshgryjcawb9h,Takeshi,JP,1.0,1.0,M,0.0,1.0,0.0
33,00ro6kgrifas7akvg715gdx37,Wei,US,1.0,2.0,M,0.0,1.0,0.0
34,00rqfbkls4hnbppcvfnb03cuk,Xunyu,CN,,,,,,
35,00sek0ist11cmlhuhbhs82h7s,Sandeep Kumar,IN,1.0,3.0,M,0.0,1.0,0.0
36,00sl4m7f2dtu23f2wehl3lxiw,Subhash Balakrishna,US,1.0,1.0,M,0.0,1.0,0.0
37,00t7tcfaoiec99waye72foe9d,Nicholas B.,US,1.0,2.0,M,0.0,1.0,0.0
38,00tocaijt1s8cyjwekbv7ydik,Yossi,IL,1.0,1.0,M,0.0,1.0,0.0
39,00u4qj410l788fzbne1611vum,Guanjia,CN,,,,,,
40,00uhr0dbog8kekm33z1ra2gxf,Kung-Chun,TW,1.0,3.0,M,0.0,1.0,0.0
41,00uxuyxznsjjo6c7bkt40tuow,Whitney,US,0.0,1.0,F,0.94125044,0.0,0.0
