Count of uuid,Column Labels,,,,,,,,,,
Row Labels,0,1,(blank),Grand Total,,,,,,,
0,13261,1231,2472,16964,,,Row Labels,F,M,Unattr,Grand Total
1,1147,51472,6041,58660,,,F,13261,1231,2472,16964
,1251,3967,22310,27528,,,M,1147,51472,6041,58660
Grand Total,15659,56670,30823,103152,,,Unattr,1251,3967,22310,27528
,,,,,,,Grand Total,15659,56670,30823,103152
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Row Labels,F,M,Unattr,Grand Total
,,,,,,,F,12.9%,1.2%,2.4%,16964
,,,,,,,M,1.1%,49.9%,5.9%,58660
,,,,,,,Unattr,1.2%,3.8%,21.6%,27528
,,,,,,,Grand Total,15659,56670,30823,103152
