,name_first,country,level,gender,F,M,?
17678,Nur Amalina,MY,3.0,F,1.0,0.0,0.0
36455,Youhei,JP,1.0,M,0.0,1.0,0.0
0,Xiaoteng,CN,,not found,not found,not found,not found
1,Danni,CN,,not found,not found,not found,not found
35079,Tetsuo,JP,1.0,M,0.0,1.0,0.0
17679,Balasubramanyan,US,3.0,M,0.0,1.0,0.0
33377,Jiyoung,US,1.0,F,0.9848485,0.0,0.0
47897,Dinesh Babu Thirukondan,IN,2.0,M,0.0,1.0,0.0
17680,Juhee,KR,3.0,F,1.0,0.0,0.0
36508,Yoshinori,JP,1.0,M,0.0,1.0,0.0
2,Prakruthi,US,,not found,not found,not found,not found
45944,Adam,US,2.0,M,0.0,1.0,0.0
17681,Irantzu,DK,3.0,F,1.0,0.0,0.0
38017,Rajanish,IN,1.0,M,0.0,1.0,0.0
47685,David,US,2.0,M,0.0,1.0,0.0
3,Zhangcheng,CN,,not found,not found,not found,not found
4,Hwajoong,KR,,not found,not found,not found,not found
5,Shangqing,US,,not found,not found,not found,not found
52351,Richard,US,2.0,M,0.0,1.0,0.0
17682,Jian,US,3.0,M,0.0,1.0,0.0
6,Youngdae,KR,,not found,not found,not found,not found
7,Ziyang,CN,,not found,not found,not found,not found
48804,Hatem,FR,2.0,M,0.0,1.0,0.0
50434,Kyri,AU,2.0,F,1.0,0.0,0.0
30351,Nandish Uppal,IN,1.0,M,0.0,1.0,0.0
52776,Samuel,US,2.0,M,0.0,1.0,0.0
34784,Thomas Marc,NL,1.0,M,0.0,1.0,0.0
8,Xiaojia,CN,,not found,not found,not found,not found
9,Byungjune,KR,,not found,not found,not found,not found
29278,Kar,US,1.0,F,0.89285713,0.0,0.0
10,Teerachot,IE,,not found,not found,not found,not found
28856,Lale,US,1.0,F,1.0,0.0,0.0
36027,Takeshi,JP,1.0,M,0.0,1.0,0.0
53862,Wei,US,2.0,M,0.0,1.0,0.0
11,Xunyu,CN,,not found,not found,not found,not found
52812,Sandeep Kumar,IN,2.0,M,0.0,1.0,0.0
35829,Subhash Balakrishna,US,1.0,M,0.0,1.0,0.0
51558,Nicholas B.,US,2.0,M,0.0,1.0,0.0
36473,Yossi,IL,1.0,M,0.0,1.0,0.0
12,Guanjia,CN,,not found,not found,not found,not found
13,Kung-Chun,TW,,not found,not found,not found,not found
37173,Whitney,US,1.0,F,0.94125044,0.0,0.0
44828,Aniruddha,IN,1.0,M,0.0,1.0,0.0
38931,Oleg Leonidovich,RU,1.0,M,0.0,1.0,0.0
17683,Min,CN,3.0,M,0.0,1.0,0.0
47222,Chris,US,2.0,M,0.0,1.0,0.0
17684,Ruixue,CN,3.0,F,1.0,0.0,0.0
14,Jinsam,KR,,not found,not found,not found,not found
48740,Hao,US,2.0,M,0.0,1.0,0.0
50990,Matthew,US,2.0,M,0.0,1.0,0.0
54570,Zhan,US,2.0,M,0.0,1.0,0.0
31320,Maria,US,1.0,F,0.99211419,0.0,0.0
15,Surgan,IN,,not found,not found,not found,not found
52040,Prabjit,US,2.0,F,1.0,0.0,0.0
42165,Chuan,US,1.0,M,0.0,1.0,0.0
41446,Fedor Aleksandrovich,RU,1.0,M,0.0,1.0,0.0
44417,Bart,BE,1.0,M,0.0,1.0,0.0
41396,Elisa,IT,1.0,F,1.0,0.0,0.0
16,Zhaopai,CN,,not found,not found,not found,not found
17685,Hangyu,KR,3.0,M,0.0,1.0,0.0
17686,George,CN,3.0,M,0.0,1.0,0.0
17,HuaJin,CN,,not found,not found,not found,not found
54679,Ziqing,US,2.0,F,1.0,0.0,0.0
18,Fei,CN,,not found,not found,not found,not found
28600,Lijun,US,1.0,F,1.0,0.0,0.0
19,Satyaki,US,,not found,not found,not found,not found
20,Wha-seob,KR,,not found,not found,not found,not found
29211,Jurgen,US,1.0,M,0.0,1.0,0.0
31408,Martijn,NL,1.0,M,0.0,1.0,0.0
17687,Parthiban,US,3.0,M,0.0,1.0,0.0
37954,Xiaoqing,CN,1.0,F,1.0,0.0,0.0
28461,Kook Yeon,KR,1.0,?,0.0,0.0,1.0
32344,Greg,CA,1.0,M,0.0,1.0,0.0
21,Junghwan,KR,,not found,not found,not found,not found
17688,Zhen,CN,3.0,M,0.0,1.0,0.0
38340,Pål,SE,1.0,M,0.0,1.0,0.0
37968,Xin,US,1.0,F,0.83837461,0.0,0.0
47561,Daniel,US,2.0,M,0.0,1.0,0.0
39752,Shunya,JP,1.0,M,0.0,1.0,0.0
38186,Rakesh,US,1.0,M,0.0,1.0,0.0
35305,Varun,US,1.0,M,0.0,1.0,0.0
53527,Timothy James Leo,US,2.0,M,0.0,1.0,0.0
48588,Gong,CA,2.0,M,0.0,1.0,0.0
17689,Tao,US,3.0,M,0.0,1.0,0.0
35888,Sung Jun,KR,1.0,?,0.0,0.0,1.0
17690,Zhi,US,3.0,M,0.0,1.0,0.0
22,Junyuan,CN,,not found,not found,not found,not found
40345,Simon,DE,1.0,M,0.0,1.0,0.0
17691,Liang,CN,3.0,M,0.0,1.0,0.0
17692,Sangar,US,3.0,M,0.0,1.0,0.0
23,Yang Fan,CN,,not found,not found,not found,not found
24,Fei,CN,,not found,not found,not found,not found
25,Tai-Ming,TW,,not found,not found,not found,not found
30163,Mehrdad,US,1.0,M,0.0,1.0,0.0
47440,Courtney,FI,2.0,F,1.0,0.0,0.0
17693,Xing,US,3.0,M,0.0,1.0,0.0
17694,Wang,CN,3.0,M,0.0,1.0,0.0
48927,Hugh,US,2.0,M,0.0,1.0,0.0
36358,Yoon Kyung,KR,1.0,?,0.0,0.0,1.0
51474,Nathan,US,2.0,M,0.0,1.0,0.0
38561,Roy,SE,1.0,M,0.0,1.0,0.0
39462,Padmanabha Venkatagiri,IN,1.0,M,0.0,1.0,0.0
48003,Edgar,US,2.0,M,0.0,1.0,0.0
46685,Bilal,US,2.0,M,0.0,1.0,0.0
33811,Ju Sung,KR,1.0,?,0.0,0.0,1.0
32439,Gustavo Mantovani,BR,1.0,M,0.0,1.0,0.0
30921,Madhusudhanan,IN,1.0,M,0.0,1.0,0.0
36556,Ying,US,1.0,F,0.65057182,0.0,0.0
42599,Boon K.,US,1.0,M,0.0,1.0,0.0
26,Zhenbin,CN,,not found,not found,not found,not found
27,Baihua,CN,,not found,not found,not found,not found
17695,Ying,NL,3.0,M,0.0,1.0,0.0
17696,Jia Wei,SG,3.0,M,0.0,1.0,0.0
28,Eunyong,KR,,not found,not found,not found,not found
29,Soo-Yeon,KR,,not found,not found,not found,not found
