Count of inventor_id,Column Labels,,,,,,,,,
Row Labels,0,1,99,Grand Total,,,,,,
0,6733,773,944,8450,,,,,,
1,836,26410,2911,30157,,,,,,
(blank),851,1107,14122,16080,,,,,,
Grand Total,8420,28290,17977,54687,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Row Labels,0,1,99,Grand Total,,Row Labels,F,M,Unattributed
,0,6733,773,944,8450,,0,12%,1%,2%
,1,836,26410,2911,30157,,1,2%,48%,5%
,(blank),851,1107,14122,16080,,Unattributed,2%,2%,26%
,Grand Total,8420,28290,17977,54687,,Grand Total,8420,28290,17977
