,name_first,country,level,gender,F,M,?
15535,Nur Amalina,MY,3.0,F,1.0,0.0,0.0
40246,Youhei,JP,1.0,M,0.0,1.0,0.0
0,Xiaoteng,CN,,not found,not found,not found,not found
1,Danni,CN,,not found,not found,not found,not found
39237,Tetsuo,JP,1.0,M,0.0,1.0,0.0
15536,Balasubramanyan,US,3.0,M,0.0,1.0,0.0
35120,Jiyoung,US,1.0,F,0.9848485,0.0,0.0
47765,Dinesh Babu Thirukondan,IN,2.0,M,0.0,1.0,0.0
15537,Juhee,KR,3.0,F,1.0,0.0,0.0
40706,Yoshinori,JP,1.0,M,0.0,1.0,0.0
2,Prakruthi,US,,not found,not found,not found,not found
45803,Adam,US,2.0,M,0.0,1.0,0.0
15538,Irantzu,DK,3.0,F,1.0,0.0,0.0
27988,Rajanish,IN,1.0,M,0.0,1.0,0.0
47553,David,US,2.0,M,0.0,1.0,0.0
3,Zhangcheng,CN,,not found,not found,not found,not found
4,Hwajoong,KR,,not found,not found,not found,not found
5,Shangqing,US,,not found,not found,not found,not found
52266,Richard,US,2.0,M,0.0,1.0,0.0
15539,Jian,US,3.0,M,0.0,1.0,0.0
6,Youngdae,KR,,not found,not found,not found,not found
7,Ziyang,CN,,not found,not found,not found,not found
48679,Hatem,FR,2.0,M,0.0,1.0,0.0
50337,Kyri,AU,2.0,F,1.0,0.0,0.0
28802,Nandish Uppal,IN,1.0,M,0.0,1.0,0.0
52693,Samuel,US,2.0,M,0.0,1.0,0.0
40182,Thomas Marc,NL,1.0,M,0.0,1.0,0.0
8,Xiaojia,CN,,not found,not found,not found,not found
9,Byungjune,KR,,not found,not found,not found,not found
35118,Kar,US,1.0,F,0.89285713,0.0,0.0
10,Teerachot,IE,,not found,not found,not found,not found
37125,Lale,US,1.0,F,1.0,0.0,0.0
39577,Takeshi,JP,1.0,M,0.0,1.0,0.0
53779,Wei,US,2.0,M,0.0,1.0,0.0
11,Xunyu,CN,,not found,not found,not found,not found
52729,Sandeep Kumar,IN,2.0,M,0.0,1.0,0.0
43925,Subhash Balakrishna,US,1.0,M,0.0,1.0,0.0
51468,Nicholas B.,US,2.0,M,0.0,1.0,0.0
40362,Yossi,IL,1.0,M,0.0,1.0,0.0
12,Guanjia,CN,,not found,not found,not found,not found
15540,Kung-Chun,TW,3.0,M,0.0,1.0,0.0
38494,Whitney,US,1.0,F,0.94125044,0.0,0.0
42430,Aniruddha,IN,1.0,M,0.0,1.0,0.0
29441,Oleg Leonidovich,RU,1.0,M,0.0,1.0,0.0
15541,Min,CN,3.0,M,0.0,1.0,0.0
47087,Chris,US,2.0,M,0.0,1.0,0.0
15542,Ruixue,CN,3.0,F,1.0,0.0,0.0
13,Jinsam,KR,,not found,not found,not found,not found
48613,Hao,US,2.0,M,0.0,1.0,0.0
50898,Matthew,US,2.0,M,0.0,1.0,0.0
54567,Zhan,US,2.0,M,0.0,1.0,0.0
35575,Maria,US,1.0,F,0.99211419,0.0,0.0
14,Surgan,IN,,not found,not found,not found,not found
51950,Prabjit,US,2.0,F,1.0,0.0,0.0
44422,Chuan,US,1.0,M,0.0,1.0,0.0
32060,Fedor Aleksandrovich,RU,1.0,M,0.0,1.0,0.0
38982,Bart,BE,1.0,M,0.0,1.0,0.0
31122,Elisa,IT,1.0,F,1.0,0.0,0.0
15,Zhaopai,CN,,not found,not found,not found,not found
15543,Hangyu,KR,3.0,M,0.0,1.0,0.0
15544,George,CN,3.0,M,0.0,1.0,0.0
16,HuaJin,CN,,not found,not found,not found,not found
54679,Ziqing,US,2.0,F,1.0,0.0,0.0
17,Fei,CN,,not found,not found,not found,not found
36704,Lijun,US,1.0,F,1.0,0.0,0.0
18,Satyaki,US,,not found,not found,not found,not found
38497,Wha-seob,KR,1.0,?,0.0,0.0,1.0
34998,Jurgen,US,1.0,M,0.0,1.0,0.0
35305,Martijn,NL,1.0,M,0.0,1.0,0.0
15545,Parthiban,US,3.0,M,0.0,1.0,0.0
41551,Xiaoqing,CN,1.0,F,1.0,0.0,0.0
